t,theta,omega
0.255,3.518103132964615,2.274459544090252
0.256,3.520378730115376,2.278081713477493
0.257,3.5226579512472096,2.281724706062197
0.258,3.5249408171937278,2.2853885358361055
0.259,3.527227348802542,2.289073216779891
0.26,3.5295175669352505,2.292778762861486
0.261,3.531811492467428,2.296505188034395
0.262,3.5341091462886087,2.300252506235991
0.263,3.536410549302271,2.3040207313857977
0.264,3.53871572242582,2.307809877383754
0.265,3.5410246865905677,2.3116199581084635
0.266,3.543337462741712,2.3154509874154288
0.267,3.5456540718383125,2.3193029791352675
0.268,3.5479745348532674,2.3231759470719147
0.269,3.5502988727732845,2.3270699050008075
0.27,3.552627106598855,2.3309848666670523
0.271,3.554959257344221,2.3349208457835786
0.272,3.5572953460373453,2.338877856029273
0.273,3.5596353937198764,2.3428559110470975
0.274,3.561979421447112,2.3468550244421924
0.275,3.564327450287962,2.3508752097799603
0.276,3.566679501324909,2.3549164805841336
0.277,3.5690355956539648,2.3589788503348257
0.278,3.5713957543846293,2.363062332466564
0.279,3.573759998639843,2.367166940366305
0.28,3.5761283495559413,2.3712926873714344
0.281,3.5785008282826016,2.375439586767747
0.282,3.580877455982795,2.3796076517874094
0.283,3.5832582538327316,2.3837968956069067
0.284,3.5856432430218033,2.3880073313449683
0.285,3.5880324447525287,2.3922389720604795
0.286,3.5904258802404914,2.396491830750371
0.287,3.592823570714278,2.400765920347492
0.288,3.595225537415415,2.405061253718466
0.289,3.5976318015983013,2.4093778436615283
0.29,3.600042384530141,2.41371570290434
0.291,3.6024573074908717,2.4180748441017896
0.292,3.6048765917730927,2.4224552798337746
0.293,3.6073002586819896,2.4268570226029604
0.294,3.6097283295352565,2.431280084832524
0.295,3.612160825663017,2.435724478863877
0.296,3.614597768407742,2.4401902169543703
0.297,3.617039179124167,2.444677311274979
0.298,3.6194850791792033,2.4491857739079674
0.299,3.6219354899518508,2.4537156168445344
0.3,3.624390432833107,2.458266851982441
0.301,3.626849929225873,2.462839491123617
