t,theta,omega
0.265,1.8805030218766192,-0.9121019311314902
0.266,1.8795904637424663,-0.9156476711984023
0.267,1.8786743580947851,-0.9191944394831035
0.268,1.877754703904844,-0.9227422370068471
0.269,1.8768315001428888,-0.9262910647565429
0.27,1.8759047457781783,-0.9298409236845937
0.271,1.8749744397790187,-0.9333918147087313
0.272,1.8740405811127974,-0.9369437387118521
0.273,1.873103168746019,-0.940496696541852
0.274,1.872162201644339,-0.9440506890114618
0.275,1.871217678772601,-0.9476057168980822
0.276,1.8702695990948697,-0.9511617809436176
0.277,1.869317961574468,-0.9547188818543112
0.278,1.868362765174012,-0.958277020300578
0.279,1.8674040088554476,-0.9618361969168393
0.28,1.8664416915800852,-0.9653964123013553
0.281,1.865475812308637,-0.9689576670160588
0.282,1.8645063700012532,-0.9725199615863878
0.283,1.8635333636175577,-0.976083296501118
0.284,1.8625567921166861,-0.9796476722121953
0.285,1.8615766544573213,-0.9832130891345674
0.286,1.8605929495977314,-0.986779547646016
0.287,1.859605676495806,-0.9903470480869883
0.288,1.858614834109095,-0.9939155907604276
0.289,1.857620421394844,-0.997485175931605
0.29,1.8566224373100342,-1.0010558038279498
0.291,1.855620880811419,-1.00462747463888
0.292,1.8546157508555619,-1.0082001885156322
0.293,1.8536070463988754,-1.011773945571092
0.294,1.8525947663976594,-1.0153487458796233
0.295,1.8515789098081388,-1.0189245894768981
0.296,1.850559475586503,-1.022501476359725
0.297,1.8495364626889443,-1.0260794064858794
0.298,1.8485098700716982,-1.0296583797739303
0.299,1.8474796966910807,-1.0332383961030707
0.3,1.846445941503529,-1.0368194553129444
0.301,1.845408603465641,-1.0404015572034748
0.302,1.844367681534214,-1.0439847015346924
0.303,1.8433231746662866,-1.0475688880265617
0.304,1.8422750818191764,-1.0511541163588092
0.305,1.8412234019505223,-1.0547403861707503
0.306,1.8401681340183234,-1.058327697061116
0.307,1.8391092769809805,-1.061916048587879
0.308,1.838046829797337,-1.065505440268081
0.309,1.8369807914267189,-1.0690958715776582
0.31,1.835911160828977,-1.072687341951267
0.311,1.8348379369645278,-1.0762798507821103
0.312,1.8337611187943943,-1.0798733974217627
0.313,1.8326807052802487,-1.0834679811799957
0.314,1.8315966953844538,-1.0870636013246024
0.315,1.8305090880701047,-1.0906602570812236
0.316,1.8294178823010716,-1.0942579476331709
0.317,1.8283230770420416,-1.097856672121252
0.318,1.8272246712585611,-1.101456429643595
0.319,1.8261226639170796,-1.105057219255472
0.32,1.825017053984991,-1.1086590399691232
0.321,1.823907840430678,-1.1122618907535806
0.322,1.8227950222235547,-1.1158657705344914
0.323,1.8216785983341097,-1.1194706781939414
0.324,1.8205585677339504,-1.1230766125702778
0.325,1.8194349293958465,-1.1266835724579327
0.326,1.8183076822937736,-1.1302915566072453
0.327,1.8171768254029579,-1.1339005637242847
0.328,1.8160423576999198,-1.1375105924706725
0.329,1.8149042781625193,-1.141121641463405
0.33,1.8137625857699995,-1.1447337092746743
0.331,1.8126172795030322,-1.1483467944316923
0.332,1.8114683583437632,-1.1519608954165104
0.333,1.8103158212758563,-1.1555760106658424
0.334,1.8091596672845398,-1.1591921385708854
0.335,1.8079998953566514,-1.1628092774771412
0.336,1.8068365044806842,-1.166427425684238
0.337,1.8056694936468327,-1.1700465814457501
0.338,1.8044988618470386,-1.1736667429690206
0.339,1.8033246080750367,-1.177287908414981
0.34,1.8021467313264026,-1.1809100758979718
0.341,1.800965230598598,-1.1845332434855638
0.342,1.7997801048910178,-1.1881574091983778
0.343,1.7985913532050377,-1.191782571009905
0.344,1.7973989745440608,-1.1954087268463278
0.345,1.7962029679135652,-1.1990358745863385
0.346,1.795003332321151,-1.202664012060961
0.347,1.7938000667765885,-1.2062931370533692
0.348,1.7925931702918663,-1.2099232472987071
0.349,1.7913826418812384,-1.2135543404839095
0.35,1.7901684805612734,-1.21718641424752
0.351,1.7889506853509023,-1.2208194661795113
0.352,1.7877292552714676,-1.224453493821105
0.353,1.7865041893467717,-1.2280884946645898
0.354,1.785275486603126,-1.231724466153142
0.355,1.7840431460693997,-1.2353614056806435
0.356,1.78280716677707,-1.238999310591502
0.357,1.7815675477602704,-1.2426381781804694
0.358,1.7803242880558414,-1.246278005692461
0.359,1.7790773867033798,-1.249918790322374
0.36,1.777826842745289,-1.2535605292149077
0.361,1.7765726552268293,-1.2572032194643805
0.362,1.7753148231961675,-1.2608468581145507
0.363,1.774053345704429,-1.2644914421584335
0.364,1.772788221805747,-1.2681369685381212
0.365,1.7715194505573142,-1.271783434144601
0.366,1.7702470310194343,-1.275430835817574
0.367,1.7689709622555725,-1.2790791703452746
0.368,1.7676912433324075,-1.282728434464288
0.369,1.7664078733198831,-1.2863786248593696
0.37,1.76512085129126,-1.2900297381632637
0.371,1.7638301763231674,-1.2936817709565223
0.372,1.7625358474956565,-1.2973347197673235
0.373,1.7612378638922515,-1.3009885810712905
0.374,1.7599362246000025,-1.30464335129131
0.375,1.7586309287095392,-1.3082990267973518
0.376,1.7573219753151228,-1.3119556039062865
0.377,1.7560093635146992,-1.3156130788817055
0.378,1.7546930924099529,-1.319271447933739
0.379,1.75337316110636,-1.3229307072188756
0.38,1.7520495687132427,-1.3265908528397812
0.381,1.7507223143438213,-1.3302518808451174
0.382,1.7493913971152704,-1.3339137872293618
0.383,1.7480568161487715,-1.3375765679326264
0.384,1.7467185705695683,-1.3412402188404768
0.385,1.745376659507021,-1.3449047357837527
0.386,1.7440310820946612,-1.3485701145383857
0.387,1.7426818374702462,-1.3522363508252204
0.388,1.741328924775815,-1.3559034403098331
0.389,1.7399723431577432,-1.359571378602352
0.39,1.7386120917667982,-1.3632401612572769
0.391,1.7372481697581954,-1.3669097837732993
0.392,1.7358805762916536,-1.3705802415931228
0.393,1.734509310531451,-1.3742515301032827
0.394,1.733134371646482,-1.377923644633967
0.395,1.731755758810313,-1.381596580458837
0.396,1.7303734712012389,-1.3852703327948477
0.397,1.72898750800234,-1.3889448968020683
0.398,1.7275978684015394,-1.3926202675835044
0.399,1.7262045515916593,-1.396296440184918
0.4,1.7248075567704786,-1.3999734095946497
0.401,1.7234068831407905,-1.4036511707434396
0.402,1.7220025299104598,-1.4073297185042495
0.403,1.720594496292481,-1.411009047692085
0.404,1.7191827815050367,-1.414689153063817
0.405,1.7177673847715544,-1.418370029318005
0.406,1.7163483053207662,-1.4220516710947189
0.407,1.7149255423867666,-1.425734072975362
0.408,1.7134990952090716,-1.4294172294824943
0.409,1.712068963032677,-1.4331011350796554
0.41,1.7106351451081185,-1.4367857841711889
0.411,1.7091976406915295,-1.4404711711020648
0.412,1.7077564490447017,-1.4441572901577047
0.413,1.7063115694351443,-1.4478441355638059
0.414,1.7048630011361434,-1.4515317014861655
0.415,1.7034107434268226,-1.455219982030506
